Prep	Cast	Spell	Sch	Sub	Descriptor	Comp	Cast	Range	Target/Effect	Duration	Save	SR	Description	Book	pg	B	C	D	P	R	W	O
		Acid Fog	con	creation	acid	V,S,M/DF	1std	med	fog spreads in 20-ft radius, 20 ft high	1 rd/lvl	-	n	Fog deals acid damage.	PHB	196						6	
		Acid Splash	con	creation	acid	V,S	1std	close	one missile of acid	instant	-	n	Orb deals 1d3 acid damage.	PHB	196						0	
		Aid	ench	compulsion	mind-affecting	V,S,DF	1std	touch	living creature touched	1 min/lvl	-	y (h/l)	+1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10).	PHB	196		2					
		Air Walk	tran		air	V,S,DF	1std	touch	creature (gargantuan or smaller) touched	10 min/lvl	-	y (h/l)	Subject treads on air as if solid (climb at 45-degree angle).	PHB	196		4	4				
		Alarm	abj			V,S,F/DF	1std	close	20-ft-radius emanation centered on a point in space	2 hrs/lvl (d)	-	n	Wards an area for 2 hours/level.	PHB	197	1				1	1	
		Align Weapon	tran		varies	V,S,DF	1std	touch	weapon touched or fifty projectiles (all of which must be in contact with each other at the time of casting)	1 min/lvl	will neg (h/l, obj)	y (h/l, obj)	Weapon becomes good, evil, lawful, or chaotic.	PHB	197		2					
		Alter Self	tran			V,S	1std	personal	you	10 min/lvl (d)			Assume form of a similar creature.	PHB	197	2					2	
		Analyze Dweomer	div			V,S,F	1std	close	one obj or creature per caster level	1 rd/lvl (d)	- or will neg; see text	n	Reveals magical aspects of subject.	PHB	197	6					6	
		Animal Growth	tran			V,S	1std	med	up to one animal (gargantuan or smaller) per two levels, no two of which can be more than 30 ft apart	1 min/lvl	fort neg	y	One animal/two levels doubles in size.	PHB	198			5		4	5	
		Animal Messenger	ench	compulsion	mind-affecting	V,S,M	1std	close	one tiny animal	1 day/lvl	-; see text	y	Sends a Tiny animal to a specific place.	PHB	198	2		2		1		
		Animal Shapes	tran			V,S,DF	1std	close	up to one willing creature per level, all within 30 ft of each other	1 hr/lvl (d)	-; see text	y (h/l)	One ally/level polymorphs into chosen animal.	PHB	198			8				
		Animal Trance	ench	compulsion	mind-affecting, sonic	V,S	1std	close	animals or magical beasts with intelligence 1 or 2	(c)	will neg; see text	y	Fascinates 2d6 HD of animals.	PHB	198	2		2				
		Animate Dead	nec		evil	V,S,M	1std	touch	one or more corpses touched	instant	-	n	Creates undead skeletons and zombies.	PHB	198		3				4	
		Animate Objects	tran			V,S	1std	med	one small obj per caster level; see text	1 rd/lvl	-	n	Objects attack your foes.	PHB	199	6	6				6	
		Animate Plants	tran			V	1std	close	one large plant per three caster levels or all plants within range; see text	1 rd/lvl or 1 hr/lvl; see text	-	n	One or more trees animate and fight for you.	PHB	199			7				
		Animate Rope	tran			V,S	1std	med	one ropelike obj, length up to 50 ft + 5 ft/level; see text	1 rd/lvl	-	n	Makes a rope move at your command.	PHB	199	1					1	
		Antilife Shell	abj			V,S,DF	1rd	10 ft	10-ft-radius emanation, centered on you	10 min/lvl (d)	-	y	10-ft. field hedges out living creatures.	PHB	199		6	6				
		Antimagic Field	abj			V,S,M/DF	1std	10 ft	10-ft-radius emanation, centered on you	10 min/lvl (d)	-	see text	neg magic within 10 ft.	PHB	200		8				6	
		Antipathy	ench	compulsion	mind-affecting	V,S,M/DF	1hr	close	one location (up to a 10-ft cube/level) or one obj	2 hrs/lvl (d)	will part	y	Object or location affected by spell repels certain creatures.	PHB	200			9			8	
		Antiplant Shell	abj			V,S,DF	1std	10 ft	10-ft-radius emanation, centered on you	10 min/lvl (d)	-	y	Keeps animated plants at bay.	PHB	200			4				
		Arcane Eye	div	scrying		V,S,M	10min	unlimited	magical sensor	1 min/lvl (d)	-	n	Invisible floating eye moves 30 ft./round.	PHB	200						4	
		Arcane Lock	abj			V,S,M	1std	touch	the door, chest, or portal touched, up to 30 sq. ft/level in size	perm	-	n	Magically locks a portal or chest.	PHB	200						2	
		Arcane Mark	uni			V,S	1std	0 ft	one personal rune or mark, all of which must fit within 1 sq. ft	perm	-	n	Inscribes a personal rune (visible or invisible).	PHB	201						0	
		Arcane Sight	div			V,S	1std	personal	you	1 min/lvl (d)			Magical auras become visible to you.	PHB	201						3	
		Arcane Sight, Greater	div			V,S	1std	personal	you	1 min/lvl (d)			As arcane sight, but also reveals magic effects on creatures and objects.	PHB	201						7	
		Armor of Darkness	abj		darkness	V,S,DF	1std	touch	creature touched	10 min/lvl	will neg (h/l)	y (h/l)	Shroud grants deflection bonus, darkvision, and other effects.	PHB								
		Astral Projection	nec		ectomancy	V,S,M	30min	touch	you plus one additional willing creature touched per two caster levels	see text	-	y	Projects you and companions onto Astral Plane.	PHB	201		9				9	
		Atonement	abj			V,S,M,F,DF,XP	1hr	touch	living creature touched	instant	-	y	Removes burden of misdeeds from subject.	PHB	201		5	5				
		Augury	div			V,S,M,F	1min	personal	you	instant			Learns whether an action will be good or bad.	PHB	202		2					
		Awaken	tran			V,S,DF,XP	1day	touch	animal or tree touched	instant	will neg	y	Animal or tree gains human intellect.	PHB	202			5				
		Baleful Polymorph	tran			V,S	1std	close	one creature	perm	fort neg, will part; see text	y	Transforms subject into harmless animal.	PHB	202			5			5	
		Bane	ench	compulsion	fear, mind-affecting	V,S,DF	1std	50 ft	all enemies within 50 ft	1 min/lvl	will neg	y	Enemies take -1 on attack rolls and saves against fear.	PHB	203		1					
		Banishment	abj			V,S,F	1std	close	one or more extraplanar creatures, no two of which can be more than 30 ft apart	instant	will neg	y	Banishes 2 HD/level of extraplanar creatures.	PHB	203		6				7	
		Barkskin	tran			V,S,DF	1std	touch	living creature touched	10 min/lvl	-	y (h/l)	Grants +2 (or higher) enhancement to natural armor.	PHB	203			2		2		
		Bear's Endurance	tran			V,S,DF	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y	Subject gains +4 to Con for 1 min./level.	PHB	203		2	2		2	2	
		Bear's Endurance, Mass	tran			V,S,DF	1std	close	one creature/level, no two of which can be more than 30 ft apart	1 min/lvl	will neg (h/l)	y	As bear's endurance, affects one subject/ level.	PHB	203		6	6			6	
		Bestow Curse	nec			V,S	1std	touch	creature touched	perm	will neg	y	-6 to an ability score; -4 on attack rolls, saves, and checks; or 50% chance of losing each action.	PHB	203		3				4	
		Bigby's Clenched Fist	evo		force	V,S,F/DF	1std	med	10-ft hand	1 rd/lvl (d)	-	y	Large hand provides cover, pushes, or attacks your foes.	PHB	203						8	
		Bigby's Crushing Hand	evo		force	V,S,M,F/DF	1std	med	10-ft hand	1 rd/lvl (d)	-	y	Large hand provides cover, pushes, or crushes your foes.	PHB	203						9	
		Bigby's Forceful Hand	evo		force	V,S,F	1std	med	10-ft hand	1 rd/lvl (d)	-	y	Hand pushes creatures away.	PHB	204						6	
		Bigby's Grasping Hand	evo		force	V,S,F/DF	1std	med	10-ft hand	1 rd/lvl (d)	-	y	Large hand provides cover, pushes, or grapples.	PHB	204						7	
		Bigby's Interposing Hand	evo		force	V,S,F	1std	med	10-ft hand	1 rd/lvl (d)	-	y	Hand provides cover against one opponent.	PHB	204						5	
		Binding	ench	compulsion	mind-affecting	V,S,M	1min	close	one living creature	see text (d)	will neg; see text	y	Utilizes an array of techniques to imprison a creature.	PHB	204						8	
		Black Tentacles	con	creation		V,S,M	1std	med	20-ft-radius spread	1 rd/lvl (d)	-	n	Tentacles grapple all within 15 ft. spread.	PHB	228						4	
		Blacklight	evo		darkness	V,S,M	1std	close	a 20-ft-radius emanation centered on a creature, obj or point in space.	1 rd/lvl (d)	will neg or none (obj)	y or no (obj)	Creates a 20-ft. radius of supernatural darkness you can see through.	PHB							3	
		Blade Barrier	evo		force	V,S	1std	med	wall of whirling blades up to 20 ft long/ level, or a ringed wall of whirling blades with a radius of up to 5 ft per two levels; either form 20 ft high	1 min/lvl (d)	ref ½ or ref neg; see text	y	Wall of blades deals 1d6/level damage.	PHB	205		6					
		Blasphemy	evo		sonic, evil	V	1std	40 ft	nonevil creatures in a 40-ft-radius spread centered on you	instant	- or will neg; see text	y	Kills, paralyzes, weakens, or dazes nonevil subjects.	PHB	205		7					
		Bless	ench	compulsion	mind-affecting	V,S,DF	1std	50 ft	the caster and all allies within a 50-ft burst, centered on the caster	1 min/lvl	-	y (h/l)	Allies gain +1 on attack rolls and saves against fear.	PHB	205		1		1			
		Bless Water	tran		positive, good	V,S,M	1min	touch	flask of water touched	instant	will neg (obj)	y (obj)	Makes holy water.	PHB	205		1		1			
		Bless Weapon	tran			V,S	1std	touch	weapon touched	1 min/lvl	-	n	Weapon strikes true against evil foes.	PHB	205				1			
		Blight	nec			V,S,DF	1std	touch	one plant	instant	fort ½; see text	y	Withers one plant or deals 1d6/level damage to plant creature.	PHB	206			4			5	
		Blindness/Deafness	nec			V	1std	med	one living creature	perm (d)	fort neg	y	Makes subject blind or deaf.	PHB	206	2	3				2	
		Blink	tran			V,S	1std	personal	you	1 rd/lvl (d)			You randomly vanish and reappear for 1 round/level.	PHB	206	3					3	
		Blur	ill	glamer		V	1std	touch	creature touched	1 min/lvl (d)	will neg (h/l)	y (h/l)	Attacks miss subject 20% of the time.	PHB	206	2					2	
		Bolt of Glory	evo		positive, good	V,S,DF	1std	close	ray	instant	-	y	Positive energy ray deals extra damage to evil outsiders and undead.	PHB			6					
		Bolts of Bedevilment	ench		mind-affecting	V,S	1std	med	ray	1 rd/lvl	will neg	y	One ray/round, dazes 1d3 rounds.	PHB		5						
		Brain Spider	div		mind-affecting	V,S,M,DF	1rd	long	up to eight living creatures within range	1 min/lvl	will neg	y	Listen to thoughts of up to eight other creatures.	PHB			7					
