School	Name	Casting Time	Range	Components	Duration	Target	Saving Throw	 Spell Resistance	Level	Description	Print?
con	Acid Fog	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S,M/DF	1  Round/lvl	fog spreads in 20-ft radius, 20 ft high	---	NO	 Sor/Wiz 6	Acid fog creates a billowing mass of misty vapors similar to that produced by a solid fog spell. In addition to slowing creatures down and obscuring sight, this spell's vapors are highly acidic. Each round on your turn, starting when you cast the spell, the fog deals 2d6 points of acid damage to each creature and object within it.@mynl@Arcane Material Component: A pinch of dried, powdered peas combined with powdered animal hoof.	true	Fog deals acid damage.
con	Acid Splash	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	instant	one missile of acid	---	NO	 Sor/Wiz 0	You fire a small orb of acid at the target. You must succeed on a ranged touch attack to hit your target. The orb deals 1d3 points of acid damage.	true	Orb deals 1d3 acid damage.
ench	Aid	1 Standa Round action	touch	V,S,DF	1 min/lvl	living creature touched	---	Yes, Harmless	 Clr 2	Aid grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).	true	+1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10).
tran	Air Walk	1 Standa Round action	touch	V,S,DF	10 min/lvl	creature (gargantuan or smaller) touched	---	Yes, Harmless	 Clr 4 Drd 4	The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to one-half the air walker's normal speed.@mynl@A strong wind (21+ mph) can push the subject along or hold it back. At the end of its turn each round, the wind blows the air walker 5 feet for each 5 miles per hour of wind speed. The creature may be subject to additional penalties in exceptionally strong or turbulent winds, such as loss of control over movement or physical damage from being buffeted about.@mynl@Should the spell duration expire while the subject is still aloft, the magic fails slowly. The subject floats downward 60 feet per round for 1d6 rounds. If it reaches the ground in that amount of time, it lands safely. If not, it falls the rest of the distance, taking 1d6 points of damage per 10 feet of fall. Since dispelling a spell effectively ends it, the subject also descends in this way if the air walk spell is dispelled, but not if it is negated by an antimagic field.@mynl@You can cast air walk on a specially trained mount so it can be ridden through the air. You can train a mount to move with the aid of air walk (counts as a trick; see Handle Animal skill) with one week of work and a DC 25 Handle Animal check.	true	Subject treads on air as if solid (climb at 45-degree angle).
abj	Alarm	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	2 hrs/lvl (d)	20-ft-radius emanation centered on a point in space	---	NO	Brd 1 Sor/Wiz 1	Alarm sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (determined by you at the time of casting) does not set off the alarm. You decide at the time of casting whether the alarm will be mental or audible.@mynl@Mental Alarm: A mental alarm alerts you (and only you) so long as you remain within 1 mile of the warded area. You note a single mental "ping" that awakens you from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental alarm.@mynl@Audible Alarm: An audible alarm produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall.@mynl@In quiet conditions, the ringing can be heard faintly as far as 180 feet away. The sound lasts for 1 round. Creatures within a silence spell cannot hear the ringing.@mynl@Ethereal or astral creatures do not trigger the alarm.@mynl@Alarm can be made permanent with a permanency spell.@mynl@Arcane Focus: A tiny bell and a piece of very fine silver wire	true	Wards an area for 2 hours/level.
tran	Align Weapon	1 Standa Round action	touch	V,S,DF	1 min/lvl	weapon touched or fifty projectiles (all of which must be in contact with each other at the time of casting)	will negates (h/l, objects)	Yes (h/l, objects)	 Clr 2	Align weapon makes a weapon good, evil, lawful, or chaotic, as you choose. A weapon that is aligned can bypass the damage reduction of certain creatures. This spell has no effect on a weapon that already has an alignment.@mynl@You can't cast this spell on a natural weapon, such as an unarmed strike.@mynl@When you make a weapon good, evil, lawful, or chaotic, align weapon is a good, evil, lawful, or chaotic spell, respectively.	true	Weapon becomes good, evil, lawful, or chaotic.
tran	Alter Self	1 Standa Round action	personal	V,S	10 min/lvl (d)	you			Brd 2 Sor/Wiz 2	You assume the form of a creature of the same type as your normal form. The new form must be within one size category of your normal size. The maximum HD of an assumed form is equal to your caster level, to a maximum of 5 HD at 5th level. You can change into a member of your own kind or even into yourself.@mynl@You retain your own ability scores. Your class and level, hit points, alignment, base attack bonus, and base save bonuses all remain the same. You retain all supernatural and spell-like special attacks and qualities of your normal form, except for those requiring a body part that the new form does not have (such as a mouth for a breath weapon or eyes for a gaze attack).@mynl@You keep all extraordinary special attacks and qualities derived from class levels, but you lose any from your normal form that are not derived from class levels.@mynl@If the new form is capable of speech, you can communicate normally. You retain any spellcasting ability you had in your original form, but the new form must be able to speak intelligibly (that is, speak a language) to use verbal components and must have limbs capable of fine manipulation to use somatic or material components.@mynl@You acquire the physical qualities of the new form while retaining your own mind. Physical qualities include natural size, mundane movement capabilities (such as burrowing, climbing, walking, swimming, and flight with wings, to a maximum speed of 120 feet for flying or 60 feet for nonflying movement), natural armor bonus, natural weapons (such as claws, bite, and so on), racial skill bonuses, racial bonus feats, and any gross physical qualities (presence or absence of wings, number of extremities, and so forth). A body with extra limbs does not allow you to make more attacks (or more advantageous two-weapon attacks) than normal.@mynl@You do not gain any extraordinary special attacks or special qualities not noted above under physical qualities, such as darkvision, low-light vision, blindsense, blindsight, fast healing, regeneration, scent, and so forth.@mynl@You do not gain any supernatural special attacks, special qualities, or spell-like abilities of the new form. Your creature type and subtype (if any) remain the same regardless of your new form. You cannot take the form of any creature with a template, even if that template doesn't change the creature type or subtype.@mynl@You can freely designate the new form's minor physical qualities (such as hair color, hair texture, and skin color) within the normal ranges for a creature of that kind. The new form's significant physical qualities (such as height, weight, and gender) are also under your control, but they must fall within the norms for the new form's kind. You are effectively disguised as an average member of the new form's race. If you use this spell to create a disguise, you get a +10 bonus on your Disguise check.@mynl@When the change occurs, your equipment, if any, either remains worn or held by the new form (if it is capable of wearing or holding the item), or melds into the new form and becomes nonfunctional. When you revert to your true form, any objects previously melded into the new form reappear in the same location on your body they previously occupied and are once again functional. Any new items you wore in the assumed form and can't wear in your normal form fall off and land at your feet; any that you could wear in either form or carry in a body part common to both forms at the time of reversion are still held in the same way. Any part of the body or piece of equipment that is separated from the whole reverts to its true form.	true	Assume form of a similar creature.
div	Analyze Dweomer	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,F	1  Round/lvl (d)	one objects or creature per caster level	--- or will negates; see text	NO	Brd 6 Sor/Wiz 6	You discern all spells and magical properties present in a number of creatures or objects. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions, how to activate its functions (if appropriate), and how many charges are left (if it uses charges). In the case of an object or creature with active spells cast upon it, you learn each spell, its effect, and its caster level.@mynl@An attended object may attempt a Will save to resist this effect if its holder so desires. If the save succeeds, you learn nothing about the object except what you can discern by looking at it. An object that makes its save cannot be affected by any other analyze dweomer spells for 24 hours.@mynl@Analyze dweomer does not function when used on an artifact.@mynl@Focus: A tiny lens of ruby or sapphire set in a small golden loop. The gemstone must be worth at least 1,500 gp.	true	Reveals magical aspects of subject.
tran	Animal Growth	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S	1 min/lvl	up to one animal (gargantuan or smaller) per two levels, no two of which can be more than 30 ft apart	fort negates	Yes	 Drd 5 Sor/Wiz 5	A number of animals grow to twice their normal size and eight times their normal weight. This alteration changes each animal's size category to the next largest, grants it a +8 size bonus to Strength and a +4 size bonus to Constitution (and thus an extra 2 hit points per HD), and imposes a -2 size penalty to Dexterity. The creature's existing natural armor bonus increases by 2. The size change also affects the animal's modifier to AC and attack rolls and its base damage. The animal's space and reach change as appropriate to the new size, but its speed does not change.@mynl@The spell also grants each subject damage reduction 10/magic and a +4 resistance bonus on saving throws. If insufficient room is available for the desired growth, the creature attains the maximum possible size and may make a Strength check (using its increased Strength) to burst any enclosures in the process. If it fails, it is constrained without harm by the materials enclosing it -  the spell cannot be used to crush a creature by increasing its size.@mynl@All equipment worn or carried by an animal is similarly enlarged by the spell, though this change has no effect on the magical properties of any such equipment.@mynl@Any enlarged item that leaves the enlarged creature's possession instantly returns to its normal size.@mynl@The spell gives no means of command or influence over the enlarged animals.@mynl@Multiple magical effects that increase size do not stack.	true	One animal/two levels doubles in size.
ench	Animal Messenger	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,M	1 day/lvl	one tiny animal	---; see text	Yes	Brd 2 Drd 2	You compel a Tiny animal to go to a spot you designate. The most common use for this spell is to get an animal to carry a message to your allies. The animal cannot be one tamed or trained by someone else, including such creatures as familiars and animal companions.@mynl@Using some type of food desirable to the animal as a lure, you call the animal to you. It advances and awaits your bidding. You can mentally impress on the animal a certain place well known to you or an obvious landmark. The directions must be simple, because the animal depends on your knowledge and can't find a destination on its own. You can attach some small item or note to the messenger. The animal then goes to the designated location and waits there until the duration of the spell expires, whereupon it resumes its normal activities.@mynl@During this period of waiting, the messenger allows others to approach it and remove any scroll or token it carries. The intended recipient gains no special ability to communicate with the animal or read any attached message (if it's written in a language he or she doesn't know, for example).@mynl@Material Component: A morsel of food the animal likes.	true	Sends a Tiny animal to a specific place.
